"Year","CO2conc","AbsTemp","TempAnomaly","constant"
2010.0,389.32416,8.481405399321224,0.28140539932122427,0.0
2011.0,391.63801,8.487318307732798,0.28731830773279865,0.0
2012.0,394.00866,8.493345812897875,0.2933458128978748,0.0
2013.0,396.46384,8.499497441601532,0.29949744160153324,0.0
2014.0,399.00402,8.505777944750525,0.30577794475052633,0.0
2015.0,401.62793,8.512192728377796,0.31219272837779694,0.0
2016.0,404.32819,8.518746371210183,0.3187463712101839,0.0
2017.0,407.09588,8.525442488154967,0.3254424881549682,0.0
2018.0,409.92701,8.53228408384353,0.33228408384353,0.0
2019.0,412.82151,8.539275885051273,0.339275885051274,0.0
2020.0,415.78022,8.546425013556725,0.34642501355672484,0.0
2021.0,418.79629,8.553739431246187,0.3537394312461875,0.0
2022.0,421.86439,8.561218836831584,0.3612188368315852,0.0
2023.0,424.99469,8.568859000428382,0.36885900042838365,0.0
2024.0,428.19734,8.576660628058251,0.37666062805825185,0.0
2025.0,431.47473,8.584624572755082,0.38462457275508377,0.0
2026.0,434.82619,8.592751589400933,0.3927515894009339,0.0
2027.0,438.24456,8.601041886722646,0.40104188672264673,0.0
2028.0,441.7208,8.609494959427742,0.4094949594277424,0.0
2029.0,445.25085,8.618109937589631,0.4181099375896326,0.0
2030.0,448.83485,8.626893346106796,0.42689334610679547,0.0
2031.0,452.47359,8.635859070535467,0.4358590705354676,0.0
2032.0,456.177,8.645010477926625,0.4450104779266262,0.0
2033.0,459.96398,8.65434506036391,0.4543450603639118,0.0
2034.0,463.85181,8.663865098224536,0.4638650982245365,0.0
2035.0,467.85003,8.673573009366155,0.47357300936615593,0.0
2036.0,471.96047,8.683470930018226,0.48347093001822655,0.0
2037.0,476.18237,8.693560615425547,0.4935606154255472,0.0
2038.0,480.50799,8.703843015463024,0.5038430154630242,0.0
2039.0,484.92724,8.714318127074243,0.5143181270742435,0.0
2040.0,489.43545,8.724983791920515,0.5249837919205151,0.0
2041.0,494.03235,8.735836002354759,0.5358360023547593,0.0
2042.0,498.7297,8.74687397331648,0.5468739733164821,0.0
2043.0,503.52959,8.758098450860487,0.5580984508604875,0.0
2044.0,508.43266,8.769509054984315,0.5695090549843157,0.0
2045.0,513.45614,8.781106521524661,0.5811065215246622,0.0
2046.0,518.61062,8.792892239080004,0.5928922390800047,0.0
2047.0,523.90006,8.804867815729908,0.6048678157299096,0.0
2048.0,529.32418,8.817034820569924,0.6170348205699251,0.0
2049.0,534.8752,8.829394302427712,0.6293943024277122,0.0
2050.0,540.54279,8.841941153528092,0.6419411535280929,0.0
2051.0,546.32201,8.854664469934104,0.6546644699341037,0.0
2052.0,552.21189,8.867559247757843,0.6675592477578426,0.0
2053.0,558.2122,8.880624943001147,0.6806249430011472,0.0
2054.0,564.31311,8.893858861912,0.6938588619120002,0.0
2055.0,570.51669,8.907258358259165,0.7072583582591652,0.0
2056.0,576.84343,8.920822010255101,0.720822010255101,0.0
2057.0,583.30471,8.93454910094809,0.7345491009480906,0.0
2058.0,589.90539,8.948439260250204,0.7484392602502047,0.0
2059.0,596.64656,8.962492290961372,0.7624922909613727,0.0
2060.0,603.52045,8.97670632824626,0.7767063282462611,0.0
2061.0,610.5165,8.991077637746903,0.791077637746903,0.0
2062.0,617.60526,9.005602002775648,0.8056020027756489,0.0
2063.0,624.76367,9.020274632095335,0.8202746320953364,0.0
2064.0,631.99471,9.035090565426176,0.8350905654261759,0.0
2065.0,639.29052,9.050044490878454,0.8500444908784542,0.0
2066.0,646.65274,9.065131241414187,0.8651312414141886,0.0
2067.0,654.09843,9.080346771775258,0.8803467717752586,0.0
2068.0,661.64491,9.095688066343255,0.8956880663432567,0.0
2069.0,669.30474,9.111152874418854,0.9111528744188556,0.0
2070.0,677.07762,9.126738329121451,0.9267383291214517,0.0
2071.0,684.95429,9.14244045947935,0.9424404594793505,0.0
2072.0,692.90196,9.158255512710529,0.9582555127105292,0.0
2073.0,700.89416,9.174179868533654,0.9741798685336553,0.0
2074.0,708.93159,9.190209654905305,0.9902096549053058,0.0
2075.0,717.01548,9.206341152979476,1.0063411529794775,0.0
2076.0,725.13597,9.22257011549246,1.0225701154924607,0.0
2077.0,733.30667,9.238892728523645,1.0388927285236458,0.0
2078.0,741.52368,9.255305364576458,1.0553053645764578,0.0
2079.0,749.80466,9.27180529805985,1.0718052980598505,0.0
2080.0,758.1823,9.288395534574992,1.0883955345749918,0.0
2081.0,766.64451,9.305083184224646,1.1050831842246476,0.0
2082.0,775.17446,9.321869954429344,1.1218699544293445,0.0
2083.0,783.75141,9.338752612399462,1.138752612399463,0.0
2084.0,792.36578,9.355728228019206,1.1557282280192067,0.0
2085.0,801.0188,9.372793940106293,1.1727939401062943,0.0
2086.0,809.71464,9.38994705206779,1.1899470520677908,0.0
2087.0,818.42214,9.407183624616566,1.207183624616567,0.0
2088.0,827.15719,9.424500120035285,1.2245001200352854,0.0
2089.0,835.95594,9.441894415946477,1.2418944159464782,0.0
2090.0,844.80471,9.45936000435514,1.259360004355142,0.0
2091.0,853.72536,9.476887112106317,1.2768871121063177,0.0
2092.0,862.72597,9.494470723276523,1.2944707232765238,0.0
2093.0,871.7768,9.512108297704913,1.3121082977049139,0.0
2094.0,880.86435,9.529795972118922,1.3297959721189239,0.0
2095.0,889.98162,9.547529812711385,1.3475298127113868,0.0
2096.0,899.12407,9.565305927443525,1.365305927443526,0.0
2097.0,908.28871,9.583120514249245,1.383120514249245,0.0
2098.0,917.47137,9.600969531203429,1.4009695312034296,0.0
