Year,CO2emis,CO2conc,TempAnomaly,scenario,CO2emis,CO2conc,TempAnomaly,scenario
2078,27.44692,1076.934369,4.617245648,base,9.9693,275,0.801061831,constant CO2
2079,27.58101,1076.934369,4.653890006,base,9.9693,275,0.806007756,constant CO2
2080,27.7151,1076.934369,4.690110825,base,9.9693,275,0.81101042,constant CO2
2081,27.79666,1076.934369,4.725936727,base,9.9693,275,0.816091171,constant CO2
2082,27.87822,1076.934369,4.761384004,base,9.9693,275,0.821259131,constant CO2
2083,27.95978,1076.934369,4.796458024,base,9.9693,275,0.826512613,constant CO2
2084,28.04134,1076.934369,4.831165466,base,9.9693,275,0.831851343,constant CO2
2085,28.1229,1076.934369,4.865512798,base,9.9693,275,0.837274944,constant CO2
2086,28.20446,1076.934369,4.899506296,base,9.9693,275,0.842782947,constant CO2
2087,28.28602,1076.934369,4.933151337,base,9.9693,275,0.848374094,constant CO2
2088,28.36758,1076.934369,4.966452696,base,9.9693,275,0.854046616,constant CO2
2089,28.44914,1076.934369,4.999415591,base,9.9693,275,0.859799294,constant CO2
2090,28.5307,1076.934369,5.03203506,base,9.9693,275,0.865620822,constant CO2
2091,28.55933,1076.934369,5.064296004,base,9.9693,275,0.871489854,constant CO2
2092,28.58796,1076.934369,5.096194612,base,9.9693,275,0.877396428,constant CO2
2093,28.61659,1076.934369,5.127735478,base,9.9693,275,0.883339078,constant CO2
2094,28.64522,1076.934369,5.158920657,base,9.9693,275,0.889313893,constant CO2
2095,28.67385,1076.934369,5.189752302,base,9.9693,275,0.895317149,constant CO2
2096,28.70248,1076.934369,5.220232745,base,9.9693,275,0.901345391,constant CO2
2097,28.73111,1076.934369,5.250364492,base,9.9693,275,0.907395425,constant CO2
2098,28.75974,1076.934369,5.280149472,base,9.9693,275,0.913463566,constant CO2
2099,28.78837,1076.934369,5.309589295,base,9.9693,275,0.919545897,constant CO2
2100,28.817,1076.934369,5.338677914,base,9.9693,275,0.925630924,constant CO2
2101,28.81392,1076.934369,5.367401619,base,9.9693,275,0.931699577,constant CO2
2102,28.81084,1076.934369,5.395757588,base,9.9693,275,0.937743753,constant CO2
2103,28.80776,1076.934369,5.423750502,base,9.9693,275,0.943762931,constant CO2
2104,28.80468,1076.934369,5.451381994,base,9.9693,275,0.949753622,constant CO2
2105,28.8016,1076.934369,5.478653731,base,9.9693,275,0.955712449,constant CO2
2106,28.79852,1076.934369,5.505567464,base,9.9693,275,0.961636195,constant CO2
2107,28.79544,1076.934369,5.532125122,base,9.9693,275,0.967521896,constant CO2
2108,28.79236,1076.934369,5.558328803,base,9.9693,275,0.973366832,constant CO2
2109,28.78928,1076.934369,5.584180028,base,9.9693,275,0.979167777,constant CO2
2110,28.7862,1076.934369,5.609679986,base,9.9693,275,0.984921248,constant CO2
2111,28.78312,1076.934369,5.634830629,base,9.9693,275,0.990624593,constant CO2
2112,28.78004,1076.934369,5.659634603,base,9.9693,275,0.996275924,constant CO2
2113,28.77696,1076.934369,5.684095143,base,9.9693,275,1.001874014,constant CO2
2114,28.77388,1076.934369,5.708216069,base,9.9693,275,1.007418284,constant CO2
