,Name,,oep01,oep1,oep3
Year,2010,,0.573783005,0.334218257,0.140947652
,2011,,0.573783005,0.334218257,0.140947652
,2012,,0.573783005,0.334218257,0.140947652
,2013,,0.573783005,0.334218257,0.140947652
,2014,,0.573783005,0.334218257,0.140947652
,2015,,0.573783005,0.334218257,0.140947652
,2016,,0.573783005,0.334218257,0.140947652
,2017,,0.573783005,0.334218257,0.140947652
,2018,,0.573783005,0.334218257,0.140947652
,2019,,0.573783005,0.334218257,0.140947652
,2020,,0.637538621,0.381463974,0.166577708
,2021,,0.637538621,0.381463974,0.166577708
,2022,,0.637538621,0.381463974,0.166577708
,2023,,0.637538621,0.381463974,0.166577708
,2024,,0.637538621,0.381463974,0.166577708
,2025,,0.637538621,0.381463974,0.166577708
,2026,,0.637538621,0.381463974,0.166577708
,2027,,0.637538621,0.381463974,0.166577708
,2028,,0.637538621,0.381463974,0.166577708
,2029,,0.637538621,0.381463974,0.166577708
,2030,,0.680216165,0.41814851,0.188432234
,2031,,0.680216165,0.41814851,0.188432234
,2032,,0.680216165,0.41814851,0.188432234
,2033,,0.680216165,0.41814851,0.188432234
,2034,,0.680216165,0.41814851,0.188432234
,2035,,0.680216165,0.41814851,0.188432234
,2036,,0.680216165,0.41814851,0.188432234
,2037,,0.680216165,0.41814851,0.188432234
,2038,,0.680216165,0.41814851,0.188432234
,2039,,0.680216165,0.41814851,0.188432234
,2040,,0.712544641,0.448952061,0.207542583
,2041,,0.712544641,0.448952061,0.207542583
,2042,,0.712544641,0.448952061,0.207542583
,2043,,0.712544641,0.448952061,0.207542583
,2044,,0.712544641,0.448952061,0.207542583
,2045,,0.712544641,0.448952061,0.207542583
,2046,,0.712544641,0.448952061,0.207542583
,2047,,0.712544641,0.448952061,0.207542583
,2048,,0.712544641,0.448952061,0.207542583
,2049,,0.712544641,0.448952061,0.207542583
,2050,,0.748417624,0.482898329,0.227827694
,2051,,0.748417624,0.482898329,0.227827694
,2052,,0.748417624,0.482898329,0.227827694
,2053,,0.748417624,0.482898329,0.227827694
,2054,,0.748417624,0.482898329,0.227827694
,2055,,0.748417624,0.482898329,0.227827694
,2056,,0.748417624,0.482898329,0.227827694
,2057,,0.748417624,0.482898329,0.227827694
,2058,,0.748417624,0.482898329,0.227827694
,2059,,0.748417624,0.482898329,0.227827694
