year,backstopprice,sigma_abatement,,,
2165,163.0100178,0.111391042,,,
2166,162.1908227,0.110147483,,,
2167,161.3761198,0.108916442,,,
2168,160.5658822,0.10769792,,,
2169,159.7600835,0.106491916,,,
2170,158.9586973,0.10529843,,,
2171,158.1616975,0.104117462,,,
2172,157.369058,0.102949013,,,
2173,156.580753,0.101793081,,,
2174,155.7967568,0.100649668,,,
2175,155.0170438,0.099518773,,,
2176,154.2415888,0.098400396,,,
2177,153.4703666,0.097294538,,,
2178,152.703352,0.096201198,,,
2179,151.9405203,0.095120375,,,
2180,151.1818467,0.094052072,,,
2181,150.4273067,0.092996286,,,
2182,149.6768758,0.091953018,,,
2183,148.9305299,0.090922269,,,
2184,148.1882448,0.089904038,,,
2185,147.4499965,0.088898325,,,
2186,146.7157614,0.08790513,,,
2187,145.9855157,0.086924454,,,
2188,145.259236,0.085956296,,,
2189,144.5368989,0.085000656,,,
2190,143.8184813,0.084057534,,,
2191,143.1039601,0.08312693,,,
2192,142.3933124,0.082208845,,,
2193,141.6865155,0.081303278,,,
2194,140.9835467,0.080410229,,,
2195,140.2843836,0.079529698,,,
2196,139.5890038,0.078661685,,,
2197,138.8973853,0.077806191,,,
2198,138.2095059,0.076963215,,,
2199,137.5253437,0.076132757,,,
2200,136.844877,0.075314817,,,
2201,136.1680841,0.074509396,,,
2202,135.4949436,0.073716492,,,
2203,134.8254341,0.072936107,,,
2204,134.1595344,0.07216824,,,
2205,133.4972234,0.071412892,,,
2206,132.8384801,0.070670061,,,
2207,132.1832837,0.069939749,,,
2208,131.5316136,0.069221955,,,
2209,130.8834491,0.068516679,,,
2210,130.2387698,0.067823921,,,
2211,129.5975555,0.067143682,,,
2212,128.9597859,0.066475961,,,
2213,128.325441,0.065820757,,,
2214,127.6945009,0.065178073,,,
2215,127.0669457,0.064547906,,,
2216,126.4427558,0.063930258,,,
2217,125.8219117,0.063325127,,,
2218,125.2043939,0.062732515,,,
2219,124.5901831,0.062152422,,,
2220,123.9792601,0.061584846,,,
2221,123.3716058,0.061029789,,,
2222,122.7672013,0.060487249,,,
2223,122.1660278,0.059957228,,,
2224,121.5680666,0.059439726,,,
2225,120.973299,0.058934741,,,
2226,120.3817066,0.058442275,,,
2227,119.793271,0.057962327,,,
2228,119.2079739,0.057494897,,,
2229,118.6257972,0.057039985,,,
2230,118.046723,0.056597592,,,
2231,117.4707332,0.056167716,,,
2232,116.8978101,0.055750359,,,
2233,116.327936,0.05534552,,,
2234,115.7610933,0.0549532,,,
2235,115.1972646,0.054573397,,,
2236,114.6364324,0.054206113,,,
2237,114.0785795,0.053851347,,,
2238,113.5236888,0.053509099,,,
2239,112.9717433,0.053179369,,,
2240,112.4227259,0.052862158,,,
2241,111.8766199,0.052557465,,,
2242,111.3334085,0.05226529,,,
2243,110.7930751,0.051985633,,,
2244,110.2556032,0.051718494,,,
2245,109.7209764,0.051463874,,,
2246,109.1891783,0.051221772,,,
2247,108.6601928,0.050992188,,,
2248,108.1340037,0.050775122,,,
2249,107.610595,0.050570574,,,
2250,107.0899507,0.050378545,,,
2251,106.5720552,0.050199034,,,
2252,106.0568925,0.050032041,,,
2253,105.5444472,0.049877566,,,
2254,105.0347037,0.04973561,,,
