x1,x2,x3,x4,x5
"-$9,098.65","-$26,375.70","-$8,541.24","-$25,618.53","-$19,654.61"
"-$5,300.15","-$12,535.31","$8,601.65","-$10,765.30","-$10,634.02"
-$939.71,"$1,533.04","$17,218.16","$2,093.06","-$1,364.69"
"-$23,399.13","-$93,014.99","-$175,593.40","-$132,858.32","-$68,624.30"
"-$4,456.64","-$16,449.67","-$25,256.07","-$21,162.57","-$11,884.29"
-$325.82,-$382.99,"$1,849.59",-$371.86,-$635.86
