"discount2","discount3","discount5"
73397.78186137178,16713.652052814912,1843.158815443692
149147.8638870164,33849.84077602234,3715.2487927035972
227342.59128274463,51421.20595141217,5617.172081968378
308007.7794272831,69423.86353182739,7547.846013798291
